 , , ,BKV,,No.,CAPE Name,BKV,Name1,Name2,Comment,,,
270674,BURNHAM,B,345,=,118,BRNHM45B,345,BG,JQ,,,,
270675,BURNHAM,1R,345,=,119,BRNHM45B,345,BG,JQ,,,,
270677,BURNHAM,0R,345,=,119,BRNHM45B,345,BG,JQ,,,,
,,,,,,,,,,,,,
270668,BLUEMOUND,B,345,=,237,BluMnd 45B1,345,BG,JQ,,,,
270668,BLUEMOUND,B,345,=,238,BluMnd 45B2,345,BG,JQ,,,,
270668,BLUEMOUND,B,345,=,239,BluMnd 45B3,345,BG,JQ,,,,
,,,,,,,,,,,,,
270662,BLOOM,B,345,=,187,BLOOM45B,345,BG,JQ,,,,
,,,,,,,,,,,,,
270900,TOLLWAY,B,345,=,351,TOLLWAYB,345,BG,JQ,,,,
,,,,,,,,,,,,,
270790,KATYDID,B,345,=,275,KTYDD45,345,BG,JQ,,,,
,,,,,,,,,,,,,
270712,DES PL 46,B,345,=,127,DES4645B B3,345,BG,JQ,,,,
270713,DES PL 46,R,345,=,129,DES4645R B1,345,BG,JQ,,,,
270715,DES PL 46,RT,345,=,2778,L10112TP,345,JQ,,It wasn't mapped before,,,
270714,DES PL 46,BT,345,=,2777,L10111TP,345,JQ,,It wasn't mapped before,,,
270713,DES PL 46,R,345,=,128,DES4645R B2,345,JQ,,128 was mapped to 270715,,,
270712,DES PL 46,B,345,=,126,DES4645B B4,345,JQ,,126 was mapped to 270714,,,
,,,,,,,,,,,,,
270820,MCCOOK,B,345,=,315,MCCOOKBS,345,BG,JQ,,,,
270821,MCCOOK,R,345,=,316,MCCOOKBS,345,BG,JQ,,,,
,,,,,,,,,,,,,
270728,E FRANKFO,B,345,=,195,66 345B,345,BG,JQ,,,,
270729,E FRANKFO,R,345,=,201,66 345B1R,345,BG,JQ,,,,
270729,E FRANKFO,R,345,=,202,66 345B4AR,345,BG,JQ,,,,
270729,E FRANKFO,R,345,=,203,66 345B6R,345,BG,JQ,,,,
270729,E FRANKFO,R,345,=,204,66 345B7R,345,BG,JQ,,,,
,,,,,,,,,,,,,
270664,BLUE ISL,B,345,=,116,BLUIS34B,345,BG,JQ,,,,
270666,BLUE ISL,BT,345,=,116,BLUIS34B,345,BG,JQ,,,,
270665,BLUE ISL,R,345,=,117,BLUIS45R,345,BG,JQ,,,,
270667,BLUE ISL,RT,345,=,117,BLUIS45R,345,BG,JQ,,,,
,,,,,,,,,,,,,
270852,PONTIAC,B,345,=,112,PONTC 45,345,BG,JQ,,,,
270853,PONTIAC,R,345,=,112,PONTC 45,345,BG,JQ,,,,
,,,,,,,,,,,,,
270710,DAVIS CRK,B,345,=,206,DVSCRK45,345,BG,JQ,,,,
270711,DAVIS CRK,R,345,=,306,DVSCRK45,345,BG,JQ,,,,
,,,,,,,,,,,,,
270884,SKOKIE 88,B,345,=,132,SKO8845B,345,BG,JQ,,,,
270884,SKOKIE 88,B,345,=,133,SKO8845B,345,BG,JQ,,,,
270885,SKOKIE 88,R,345,=,134,SKO8845R,345,BG,JQ,,,,
270885,SKOKIE 88,R,345,=,135,SKO8845R,345,BG,JQ,,,,
,,,,,,,,,,,,,
270736,ELWOOD,B,345,=,939,900EEC 45B11,345,BG,JQ,,,,
270736,ELWOOD,B,345,=,980,900EEC 45B10,345,BG,JQ,,,,
270736,ELWOOD,B,345,=,940,900EEC 45B89,345,BG,JQ,,,,
274758,ELWOOD EC,2P,345,=,992,GR2-HS,345,BG,JQ,,,,
270737,ELWOOD,R,345,=,936,L_90001BUS,345,BG,JQ,,,,
274757,ELWOOD EC,1P,345,=,935,GR1-HS,345,BG,JQ,,,,
,,,,,,,,,,,,,
270822,MOLECREEK,B,345,=,311,MLECRK 45B1,345,BG,JQ,,,,
270822,MOLECREEK,B,345,=,312,MLECRK 45B2,345,BG,JQ,,,,
270822,MOLECREEK,B,345,=,313,MLECRK 45B3,345,BG,JQ,,,,
270822,MOLECREEK,B,345,=,288,MNK WFRM 45B,345,BG,,"Please note that bus 288 has been mapped to 274454 by CAPE engineers, but the voltage level in that mapping was different Therefore we mapped it this way.",,,
,,,,,,,,,,,,,
270704,LORETTO,B,345,=,250,LRTTO 45B1,345,BG,JQ,,,,
270704,LORETTO,B,345,=,251,LRTTO 45B2,345,BG,JQ,,,,
270704,LORETTO,B,345,=,252,LRTTO 45B3,345,BG,JQ,,,,
,,,,,,,,,,,,,
